Line_ID,Fe_II,He_N,Nebular
He II 3203,,x,
Fe II 3228 (6),x,,
Fe II 3256 (1),x,,
Fe II 3277 (1),x,,
Fe II 3281 (1),x,,
[Ne III] 3343,,,x
[Ne V] 3346,,,x
[Ne V] 3426,,,x
O VI 3435,,x,
O III 3444,,x,
[Fe VI] 3492,,,x
[Fe VI] 3556,,,x
[Fe VII] 3586,,,x
[Fe VI] 3663,,,x
O III 3713 (14),,,x
[S III] 3722,,,x
[O II] 3727,,,x
H I 3734,x,x,x
Ca II 3706/37 (3),x,,
H I 3750,x,x,x
[Fe VII] 3759,,,x
H I 3771,x,x,x
H I 3798,x,x,x
O VI 3811,,x,
[Fe VI] 3814,,,x
O VI 3834,,x,
H I 3835,x,x,x
Mg I 3835 (3),x,,
Mg II 3849 (5),x,,
He II 3858,,x,
Si II 3858 (1),x,,
[Ne III] 3869,,,x
H I 3889,x,x,x
He I 3889,x,x,
Al II 3901 (1),x,,
He II 3923,,x,
Ca II 3934 (K),x,,
Ca II 3968 (H),x,,
[Ne III] 3968,,,x
H I 3970,x,x,x
[Fe XI] 3987,,,x
He I 4026,x,x,
[Fe V] 4026,,,x
[S II] 4069,,,x
[Fe V] 4071,,,x
[S II] 4076,,,x
H I 4102,x,x,x
He I 4144,x,x,
Fe II 4179 (28),x,,
[Fe V] 4181,,,x
C III 4187,,x,
He II 4200,x,x,
[Fe V] 4229,,,x
Fe II 4233 (27),x,,
[Fe II] 4244,,,x
C II 4267,,x,
[Fe II] 4287,,,x
Fe II 4297 (28),x,,
Fe II 4303 (27),x,,
H I 4340,x,x,x
Fe II 4352 (27),x,,
[Fe II] 4359,,,x
[O III] 4363,,,x
Fe II 4385 (27),x,,
He I 4388,x,x,
[Fe II] 4416,,,x
Fe II 4417 (27),x,,
He I 4438,x,x,
[Fe II] 4458,,,x
He I 4471,x,x,
Mg II 4481 (4),x,,
Fe II 4491 (37),x,,
Fe II 4508 (38),x,,
Fe II 4515 (37),x,,
N III 4517 (3),x,x,
Fe II 4523 (38),x,,
He II 4542,x,x,
Fe II 4549 (38),x,,
Fe II 4556 (37),x,,
Mg I] 4571,x,,
Fe II 4584 (38),x,,
N V 4609 (1),x,x,
Fe II 4629 (37),x,,
N III 4638,x,x,
C IV 4658,,x,
[Fe III] 4658,,,x
Al II 4663 (2),x,,
He II 4686,x,x,
[Fe III] 4702,,,x
He I 4713,x,x,
[Ne IV] 4721,,,x
[Ar IV] 4740,,,x
[Fe III] 4755,,,x
[Fe II] 4815,,,x
H I 4861,x,x,x
[Fe III] 4881,,,x
[Fe VII] 4893,,,x
He I 4922,x,x,
Fe II 4924 (42),x,,
[Ca VII] 4939,,,x
[Fe VII] 4942,,,x
N V 4945,x,x,
[O III] 4959,,,x
[Fe VI] 4967/72,,,x
[Fe VII] 4989,,,x
N II 5001 (24),x,,
[O III] 5007,,,x
He I 5016,x,x,
Fe II 5018 (42),x,,
He I 5048,x,x,
[Fe VI] 5146,,,x
[Fe VII] 5158,,,x
[Fe II] 5159,,,x
Fe II 5169 (42),x,,
[Fe VI] 5176,,,x
Mg I 5178 (2),x,,
Fe II 5198 (49),x,,
[N I] 5199,,,x
Fe II 5235 (49),x,,
[Fe II] 5262,,,x
Fe II 5265 (48),x,,
[Fe III] 5270,,,x
Fe II 5276 (49),x,,
[Fe VII] 5276,,,x
Fe II 5284 (41),x,,
O VI 5292,x,x,
[Fe XIV] 5303,,,x
[Ca V] 5309,,,x
Fe II 5317 (49,48),x,
Fe II 5363 (48),x,,
He II 5412,x,x,
[Fe VI] 5424,,,x
Fe II 5425 (49,48),x,
N II 5479 (29),x,,
Mg I 5528 (9),x,,
[Ar X] 5533,,,x
Fe II 5535 (55),x,,
[O I] 5577,,,x
[Ca VII] 5619,,,x
[Fe VI] 5631,,,x
[Fe VI] 5677,,,x
N II 5679 (3),x,,
Na I 5686 (6),x,,
Al III 5706 (2),x,,
[Fe VII] 5721,,,x
[N II] 5755,,,x
C IV 5805 (1),,x,
He I 5876,x,x,
