vot_file,table_name,table_rows,col_index,field_name,datatype,unit,ucd,utype,description
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,0,lambda1,short,0.1 nm,SPECT_WAVELENGTH_MISC,,"[3934/8446] Wavelength (or lower range of wavelength); in
     Angstroms units"
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,1,lambda2,short,0.1 nm,SPECT_WAVELENGTH_MISC,,? Upper range of Wavelength; Angstroms
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,2,Species,char,,AT_SPECIES,,Species identifier
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,3,F-Apr20,float,mW / m2,SPECT_FLUX_VALUE,,"? The April 20, 2012 line flux (G1)"
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,4,F-Apr22,float,mW / m2,SPECT_FLUX_VALUE,,"? The April 22, 2012 line flux (G1)"
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,5,F-Apr28,float,mW / m2,SPECT_FLUX_VALUE,,"? The April 28, 2012 line flux (G1)"
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,6,F-Apr30,float,mW / m2,SPECT_FLUX_VALUE,,"? The April 30, 2012 line flux (G1)"
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,7,F-May04,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 4, 2012 line flux (G1)"
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,8,F-May09,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 9, 2012 line flux (G1)"
J_ApJ_835_274__0.vot,J/ApJ/835/274/table3,45,9,F-May10,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 10, 2012 line flux (G1)"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,0,lambda1,short,0.1 nm,SPECT_WAVELENGTH_MISC,,"[3934/7477] Wavelength (or lower range of wavelength); in
     Angstroms units"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,1,lambda2,short,0.1 nm,SPECT_WAVELENGTH_MISC,,? Upper range of Wavelength; Angstroms
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,2,Species,char,,AT_SPECIES,,Species identifier
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,3,F-May17,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 17, 2012 line flux (G1)"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,4,F-May27,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 27, 2012 line flux (G1)"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,5,F-May29,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 29, 2012 line flux (G1)"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,6,F-May30,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 30, 2012 line flux (G1)"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,7,F-May31,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 31, 2012 line flux (G1)"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,8,F-Jun09,float,mW / m2,SPECT_FLUX_VALUE,,"? The June 9, 2012 line flux (G1)"
J_ApJ_835_274__1.vot,J/ApJ/835/274/table4,43,9,F-Jun10,float,mW / m2,SPECT_FLUX_VALUE,,"? The June 10, 2012 line flux (G1)"
J_ApJ_835_274__2.vot,J/ApJ/835/274/table5,45,0,lambda1,short,0.1 nm,SPECT_WAVELENGTH_MISC,,"[3934/10126] Wavelength (or lower range of wavelength); in
     Angstroms units"
J_ApJ_835_274__2.vot,J/ApJ/835/274/table5,45,1,lambda2,short,0.1 nm,SPECT_WAVELENGTH_MISC,,? Upper range of Wavelength; Angstroms
J_ApJ_835_274__2.vot,J/ApJ/835/274/table5,45,2,Species,char,,AT_SPECIES,,Species identifier
J_ApJ_835_274__2.vot,J/ApJ/835/274/table5,45,3,F-Jun20,float,mW / m2,SPECT_FLUX_VALUE,,"? The June 20, 2012 line flux (G1)"
J_ApJ_835_274__2.vot,J/ApJ/835/274/table5,45,4,F-Jun22,float,mW / m2,SPECT_FLUX_VALUE,,"? The June 22, 2012 line flux (G1)"
J_ApJ_835_274__2.vot,J/ApJ/835/274/table5,45,5,F-Jun24,float,mW / m2,SPECT_FLUX_VALUE,,"? The June 24, 2012 line flux (G1)"
J_ApJ_835_274__2.vot,J/ApJ/835/274/table5,45,6,F-May08,float,mW / m2,SPECT_FLUX_VALUE,,"? The May 8, 2015 line flux (G1)"
J_ApJ_852_108__0.vot,J/ApJ/852/108/table1,13132,0,Date,char,,TIME_DATE,,UT date of the observation
J_ApJ_852_108__0.vot,J/ApJ/852/108/table1,13132,1,JD,double,d,TIME_DATE,,Julian Date of the observation
