band,filter_a,filter_b,overlap,delta_mmag_3500K,delta_mmag_5800K,delta_mmag_10000K,delta_mmag_25000K
B,Astrodon B,Baader B,0.8906,154.8,64.5,-15.0,-86.6
B,Astrodon B,Chroma B,0.9601,123.4,43.0,-12.4,-58.1
B,Astrodon B,Ref: Bessell.B,0.9945,-57.2,-2.5,5.7,8.0
I,Astrodon Ic,Baader I,0.6498,131.2,-143.8,-269.5,-360.0
I,Astrodon Ic,Chroma I,0.6793,123.0,-127.2,-241.7,-324.1
I,Astrodon Ic,Ref: Bessell.I,0.6553,131.4,-143.0,-268.4,-358.5
R,Astrodon Rc,Baader R,0.9841,-52.0,9.7,33.5,47.0
R,Astrodon Rc,Chroma R,0.9844,-33.7,9.1,22.4,27.6
R,Astrodon Rc,Ref: Bessell.R,0.9797,46.8,-4.0,-33.0,-57.5
V,Astrodon V,Baader V,0.9713,57.8,11.2,-19.6,-46.2
V,Astrodon V,Chroma V,0.9737,-73.2,-3.0,22.5,36.6
V,Astrodon V,Ref: Bessell.V,0.9790,55.4,11.3,-18.4,-44.0
B,Baader B,Chroma B,0.9380,-31.4,-21.5,2.6,28.5
B,Baader B,Ref: Bessell.B,0.8918,-212.0,-67.0,20.6,94.6
I,Baader I,Chroma I,0.9944,-8.2,16.5,27.8,35.9
I,Baader I,Ref: Bessell.I,0.9873,0.2,0.7,1.1,1.6
R,Baader R,Chroma R,0.9934,18.3,-0.6,-11.1,-19.4
R,Baader R,Ref: Bessell.R,0.9592,98.8,-13.7,-66.5,-104.5
U,Baader U,Chroma U,0.8970,105.8,75.3,3.0,-48.9
U,Baader U,Ref: Bessell.U,0.8891,60.8,114.5,11.4,-76.3
V,Baader V,Chroma V,0.9515,-131.0,-14.2,42.1,82.9
V,Baader V,Ref: Bessell.V,0.9972,-2.4,0.0,1.2,2.2
B,Chroma B,Ref: Bessell.B,0.9590,-180.7,-45.5,18.1,66.1
I,Chroma I,Ref: Bessell.I,0.9933,8.4,-15.8,-26.7,-34.3
R,Chroma R,Ref: Bessell.R,0.9778,80.5,-13.1,-55.3,-85.1
U,Chroma U,Ref: Bessell.U,0.9600,-44.9,39.2,8.4,-27.4
V,Chroma V,Ref: Bessell.V,0.9561,128.6,14.3,-41.0,-80.7
