band,filter_id,facility,instrument,wavelength_eff,fwhm,mean_overlap,min_overlap,median_overlap,n_low_pairs,is_outlier
B,SOFIA/HAWC.B,SOFIA,HAWC,630574.5,91446.8,0.0000,0.0000,0.0000,90,True
B,LaSilla/EFOSC.ESO724,La Silla,EFOSC,4442.4,1837.7,0.8436,0.0000,0.8720,1,False
B,CAHA/LAICA.Johnson_B,CAHA,LAICA,4213.7,1322.5,0.8832,0.0000,0.9058,1,False
B,CAHA/LAICA.Johnson_B2,CAHA,LAICA,4345.6,1460.3,0.8946,0.0000,0.9183,1,False
B,CAHA/CAHA.451_73,CAHA,,4498.5,706.8,0.8979,0.0000,0.9135,1,False
B,CAHA/Astralux.B,CAHA,Astralux,4550.0,677.8,0.9034,0.0000,0.9201,1,False
B,HCT/HFOSC.Bessell_B,HCT,HFOSC,4573.9,1062.6,0.9064,0.0000,0.9263,1,False
B,TYCHO/TYCHO.B,TYCHO,,4280.0,709.7,0.9090,0.0000,0.9266,1,False
B,CAHA/Astralux.B_noatm,CAHA,Astralux,4538.0,694.6,0.9096,0.0000,0.9262,1,False
B,TYCHO/TYCHO.B_bes,TYCHO,,4234.3,689.0,0.9172,0.0000,0.9353,1,False
B,TYCHO/TYCHO.B_MvB,TYCHO,,4219.1,738.5,0.9196,0.0000,0.9381,1,False
B,Paranal/VIMOS.B,Paranal,VIMOS,4288.9,963.3,0.9215,0.0000,0.9365,1,False
B,CFHT/MOCAM.B,CFHT,MOCAM,4309.1,959.5,0.9229,0.0000,0.9386,1,False
B,CAHA/PlanetCam2.VIS_B,CAHA,PlanetCam2,4532.8,864.5,0.9231,0.0000,0.9400,1,False
B,INT/WFC.B,INT,WFC,4375.0,1023.7,0.9266,0.0000,0.9377,1,False
B,CAHA/CAHA.449_75,CAHA,,4474.3,749.6,0.9302,0.0000,0.9482,1,False
B,Paranal/OmegaCAM.B_qC,Paranal,OmegaCAM,4402.7,983.5,0.9306,0.0000,0.9422,1,False
B,Paranal/OmegaCAM.B_qC_filter,Paranal,OmegaCAM,4397.6,988.8,0.9313,0.0000,0.9431,1,False
B,CAHA/Astralux.B_filter,CAHA,Astralux,4492.1,742.8,0.9316,0.0000,0.9494,1,False
B,CAHA/CAHA.448_75ab,CAHA,,4462.3,748.6,0.9351,0.0000,0.9545,1,False
B,CFHT/CFH12k.B,CFHT,CFH12k,4300.8,990.4,0.9352,0.0000,0.9527,1,False
B,LaSilla/SUSI2.B_817,La Silla,SUSI2,4227.1,991.7,0.9364,0.0000,0.9576,1,False
