band,n_filters,n_pairs,median_overlap,min_overlap,max_overlap,std_overlap,pct_above_090,pct_above_085
B,90,4005,0.9613,0.7449,1.0000,0.0383,92.2,97.3
H,60,1770,0.9854,0.5845,1.0000,0.0685,91.8,92.9
I,64,2016,0.8720,0.4261,1.0000,0.1137,38.0,54.0
J,59,1711,0.9363,0.5531,1.0000,0.0922,62.3,74.8
K,33,528,0.9468,0.4039,1.0000,0.0876,72.0,83.0
Ks,28,378,0.9894,0.8764,1.0000,0.0184,99.7,100.0
R,64,2016,0.9814,0.5509,1.0000,0.0672,78.2,90.9
V,99,4851,0.9654,0.6035,1.0000,0.0514,89.3,95.7
g,100,4950,0.9838,0.6013,1.0000,0.0722,84.2,88.5
i,65,2080,0.9759,0.6111,1.0000,0.0750,83.7,86.4
r,75,2775,0.9774,0.6291,1.0000,0.0801,77.8,82.7
u,75,2775,0.9192,0.4702,1.0000,0.0878,57.5,74.7
z,91,4095,0.8501,0.4382,1.0000,0.1230,37.3,50.1
