Wavelength (nm),Transmission
353.5291685,-0.066312357
358.3249843,-0.063982029
363.1208001,-0.061651701
367.9166158,-0.059321372
372.7124316,-0.056991044
377.5082474,-0.054660716
382.3040631,-0.052330387
387.0998789,-0.050000059
391.8956947,-0.04766973
396.6915104,-0.045339402
401.4873262,-0.043009074
406.283142,-0.040678745
411.0789577,-0.038348417
415.8747735,-0.036018089
419.3627878,-0.045127554
427.3740171,-0.043935909
432.0061538,-0.028179711
435.930109,-0.0339904
441.3805352,-0.077646227
448.3562672,-0.074256659
459.0371154,-0.015045133
463.8329311,-0.012714805
468.6287469,-0.010384477
473.4245627,-0.008054148
478.2203784,-0.00572382
483.0161942,-0.003393492
487.81201,-0.001063163
492.6078932,-0.003643857
505.2514074,0.002499735
510.0471558,0.009741086
514.8429716,0.012071415
518.1130313,0.000154963
527.7046629,0.00481562
554.0815316,0.026226715
558.87728,0.033468066
563.6730957,0.035798394
568.4689115,0.038128723
573.2647273,0.040459051
578.060543,0.04278938
582.8563588,0.045119708
587.6521746,0.047450036
592.4479903,0.049780365
597.2438061,0.052110693
602.0396219,0.054441021
606.8354376,0.05677135
611.6312534,0.059101678
616.4270692,0.061432006
621.2228849,0.063762335
626.0187007,0.066092663
630.8145165,0.068422991
635.6103322,0.07075332
640.406148,0.073083648
645.2019638,0.075413977
649.9977795,0.077744305
654.7935953,0.080074633
659.5894111,0.082404962
664.3852268,0.08473529
669.1784063,0.279141168
673.5264906,1.137196317
676.1226671,2.575432611
677.1955714,3.818450944
678.6981566,5.520861735
680.1953661,7.614926577
681.0473129,9.073923979
681.8990744,10.54642669
682.320599,11.60005288
683.6088999,13.03225151
684.0319075,13.9778352
684.8812592,15.62590697
685.7224548,17.86821248
686.7659475,21.25407366
686.5677284,19.81340111
687.6025707,23.8295102
687.4044752,22.37983411
688.4340036,26.78309547
688.0210059,25.10822492
689.2642008,29.82671616
688.8514502,28.13383853
690.0963752,32.72628018
689.6833774,31.05140963
690.9271902,35.72488316
690.5138217,34.07702324
691.7594881,38.61544364
691.3457489,36.99459434
692.3875116,40.50650511
692.1791591,39.80412296
693.0121985,42.64066219
694.2890066,44.91019016
695.1361339,46.72032568
696.187165,49.55697084
695.5558049,47.90900499
696.3773516,51.58287358
696.3936639,50.39440611
697.2166935,53.9602322
697.2322643,52.82578599
698.0560354,56.33759082
698.0716062,55.20314461
699.3246873,59.20135253
698.9102066,57.63452448
700.1610634,61.79479615
699.7465827,60.2279681
700.9981809,64.33421852
700.5829587,62.82141172
701.8352984,66.87364089
701.4208177,65.30681284
702.66945,69.62914825
702.2571937,67.90025645
703.0846721,71.14195505
704.3677827,72.95230242
705.2126856,74.92450168
705.4010185,77.08545753
705.4173308,75.89699007
706.5972537,79.93117685
706.2537069,78.49043369
707.1523662,81.84021009
706.8735742,80.97572888
707.9220101,84.00144841
709.0478059,86.68506868
710.0329698,89.02648375
710.4518993,90.26918431
711.3056998,91.59312859
712.5888104,93.40347596
714.9626206,95.16033169
719.303016,96.57857861
724.1863604,97.26265272
728.7536627,97.77936352
733.7912395,98.77272198
738.2317437,99.25026981
743.0729373,99.12297033
748.0458157,98.9309089
753.0133554,99.12780046
757.6344813,99.15165455
762.4329933,98.95754398
767.321614,98.5513196
771.873635,98.0511305
776.7419499,97.62432439
781.4163296,97.65060532
786.4260927,97.94770292
791.2200211,98.08754188
796.0158368,98.08987221
800.8131355,97.98416004
805.7436019,97.70564344
810.4120993,97.45461058
815.0881974,97.10359856
820.2564891,96.69108673
824.6366543,96.62358724
829.2401756,96.11493406
833.5534016,94.97485874
836.1900622,93.46353487
837.520256,91.84353297
838.1972164,90.16919204
839.0951343,88.27887204
839.9908278,86.55061579
840.0128864,84.94348365
840.9043165,83.52584958
840.9206288,82.33738212
840.9361996,81.2029359
841.8252199,79.96087088
841.8415322,78.77240342
841.8645177,77.09774472
842.7587282,75.47753097
842.7750405,74.2890635
842.795987,72.76296324
843.683339,71.64244603
843.7052123,70.0488192
844.5960862,68.67170107
844.6123985,67.4832336
844.6344572,65.87610146
845.5266287,64.40444614
845.542941,63.21597868
845.5592533,62.02751121
845.6531726,60.4789374
845.3731448,59.70449161
846.2621651,58.46242659
846.2784774,57.27395913
846.2947897,56.08549167
846.311102,54.8970242
846.3318631,53.38442925
847.2186589,52.30442798
847.2349712,51.11596051
847.2512835,49.92749305
847.2675958,48.73902559
847.2883569,47.22643063
848.1751528,46.14642936
848.1914651,44.9579619
848.2077774,43.76949443
848.2311337,42.06782511
849.1257149,40.42060073
849.1420272,39.23213327
849.1583395,38.0436658
849.1816958,36.34199648
850.0762771,34.6947721
850.0925894,33.50630464
850.1089017,32.31783717
850.5691062,30.55335491
851.0179416,29.61719845
851.0342539,28.42873099
851.0576101,26.72706166
851.9507085,25.18787978
851.9670208,23.99941232
851.9881526,22.45980674
852.7411135,20.5424055
852.9079438,18.97585992
853.7969641,17.7337949
853.8199496,16.0591362
854.7189797,14.08778433
855.612078,12.54860245
856.5022105,11.22550556
857.2484981,9.79429556
858.2935974,7.768993059
859.1863251,6.256821801
860.5139237,4.825894264
862.2793593,3.260125453
865.4268914,1.586984998
869.9754806,0.693979968
874.9637285,0.289698262
879.760953,0.189388218
884.5567688,0.191718547
889.3525846,0.194048875
894.1484003,0.196379203
898.9442161,0.198709532
903.7400319,0.20103986
908.5358476,0.203370188
913.3316634,0.205700517
918.1274792,0.208030845
922.9232949,0.210361173
927.7191107,0.212691502
932.5149265,0.21502183
937.3107422,0.217352159
942.106558,0.219682487
946.9023738,0.222012815
951.6981895,0.224343144
956.4940053,0.226673472
961.2898211,0.2290038
966.0856368,0.231334129
970.8814526,0.233664457
975.6772684,0.235994785
980.4730841,0.238325114
985.2688999,0.240655442
990.0647157,0.24298577
994.8605314,0.245316099
999.6563472,0.247646427
1004.452163,0.249976756
1009.247979,0.252307084
1014.043794,0.254637412
1018.83961,0.256967741
1023.547414,0.318679073
1028.254253,0.450618027
1033.269989,0.312599034
1038.022873,0.266289054
1042.980329,0.403751946
1046.915004,0.411066
