Wavelength (nm),Transmission
351.9940015,0.639455782
356.9719283,0.488195278
361.7771981,0.488195278
366.7544562,0.288315326
371.3847661,0.272108844
376.1900359,0.272108844
380.9953058,0.272108844
385.8005756,0.272108844
390.6058455,0.272108844
395.4111153,0.272108844
400.2163852,0.272108844
405.021655,0.272108844
409.8269249,0.272108844
414.6321947,0.272108844
419.4374646,0.272108844
424.2427344,0.272108844
429.0480043,0.272108844
433.8532741,0.272108844
438.658544,0.272108844
443.4638138,0.272108844
448.2690837,0.272108844
453.0743535,0.272108844
457.8796234,0.272108844
462.6848932,0.272108844
467.4901631,0.272108844
472.2954329,0.272108844
477.1007028,0.272108844
481.9059726,0.272108844
486.7112425,0.272108844
491.5165123,0.272108844
496.3217822,0.272108844
501.127052,0.272108844
505.9323218,0.272108844
510.7375917,0.272108844
515.5428615,0.272108844
520.3481314,0.272108844
525.1534012,0.272108844
529.9586711,0.272108844
534.7213711,0.353141257
539.4770875,0.632252901
543.5228355,1.8747499
545.730699,3.594437775
546.6258055,5.152060824
546.856609,6.052420968
547.7484963,7.37595038
549.0809408,8.969587835
550.850971,10.6172469
552.4789778,12.5260104
553.5277471,14.66886755
554.2059181,16.33453381
554.6603435,17.61304522
555.9946454,19.34173669
556.8935904,21.17847139
557.8062797,24.01460584
557.3467776,22.36694678
558.2769257,26.47258904
558.2605812,25.28411365
559.6429259,30.50620248
559.1847859,28.95758303
559.1684414,27.76910764
560.1327643,34.3597439
560.1164198,33.17126851
560.1000754,31.98279312
561.5127564,39.41076431
561.0539972,37.81712685
561.0302235,36.08843537
562.4406757,43.35434174
561.9811736,41.70668267
561.9648292,40.51820728
563.3552222,46.32553021
562.8949772,44.62384954
564.2847512,50.38615446
563.8280971,48.94557823
563.8117526,47.75710284
564.8028209,56.29251701
564.7864765,55.10404162
564.770132,53.91556623
564.7537876,52.72709084
564.7374431,51.53861545
565.5868595,60.36214486
566.2006433,62.64005602
565.7091953,58.66946779
565.6935937,57.53501401
567.1460215,67.85314126
566.685405,66.12444978
566.6690606,64.93597439
566.6527161,63.747499
568.0791413,72.17486995
567.6200107,70.55422169
567.6036662,69.3657463
568.9918305,75.0110044
568.5323285,73.36334534
569.8904041,76.82072829
570.7919494,78.84653862
571.2484797,80.27811124
572.1399955,81.57462985
573.4739259,83.27631052
575.025349,84.91046419
576.7922218,86.32853141
578.1276381,88.1382553
579.0172965,89.29971989
580.3506697,90.96088435
581.8963971,92.18087235
583.668037,93.94557823
585.4410389,95.80932373
588.5198142,97.32733093
592.9054773,98.58063225
597.6200107,99.04161665
602.6086191,98.25530212
607.0978136,98.21328531
611.6039304,97.63705482
614.7154441,96.2414966
616.8797224,94.79191677
619.4819578,93.42336935
621.6458646,91.94677871
624.1376511,90.48819528
625.980117,89.46178471
629.2137602,88.1232493
633.8209979,87.84113645
638.2962212,87.66556623
642.9735214,86.30152061
646.0065323,84.49179672
648.9357187,83.07372949
650.777875,82.02480992
652.5093967,80.87234894
654.455006,79.4047619
656.6170555,77.79311725
658.3451101,76.38855542
660.5091408,74.92096839
662.4549977,73.47138856
664.1823095,72.01280512
666.7840496,70.6082433
671.4593067,69.09563826
676.3641291,68.39335734
680.7157873,67.17401246
684.0463946,65.82733093
686.5771849,64.55782313
688.0897899,63.36934774
690.2519633,61.76670668
692.7058603,60.20008003
694.141696,58.7234894
696.3038693,57.12084834
698.4670332,55.59023609
699.7599786,54.31172469
701.0561435,53.26730692
703.2225267,51.97078832
705.3918817,50.89035614
707.3391007,49.53981593
709.9440601,48.36934774
712.1103815,47.06832733
714.3201147,45.747499
717.9711688,44.40776311
722.075113,43.32733093
726.6749627,42.00380152
730.1511312,40.6532613
733.772171,39.24869948
737.392344,37.78111244
740.5794137,36.58543417
743.617105,35.11604642
746.6586595,33.92757103
749.6970938,32.51220488
752.7370634,31.20848339
755.427757,29.91916767
759.4279881,28.55782313
762.8784264,27.45398159
765.5565645,26.31052421
768.3769117,24.91946779
771.4160517,23.55542217
775.3312917,22.36694678
780.451378,21.43507403
784.3671752,20.28711485
787.2989618,19.05812325
790.8060945,17.69021894
794.0349205,16.50560224
797.0753606,15.23609444
800.1169151,14.04761905
804.2448807,12.44497799
808.3800774,11.36814726
813.2594916,10.40656263
817.9654655,9.539270254
822.9075245,8.897559024
827.8691634,8.166981078
832.3469922,7.046418567
837.1437927,6.430572229
841.3303506,5.911964786
843.8921954,4.782913165
845.6202501,3.378351341
848.6865866,1.722974904
853.5196986,0.722288916
858.1620192,0.520608243
862.661202,0.4989996
867.6432891,0.650260104
873.3618426,0.353141257
878.1223138,0.272108844
882.9275836,0.272108844
887.7328535,0.272108844
892.5381233,0.272108844
897.3433932,0.272108844
902.148663,0.272108844
906.9539329,0.272108844
911.7592027,0.272108844
916.5644725,0.272108844
921.3697424,0.272108844
926.1750122,0.272108844
930.9802821,0.272108844
935.7855519,0.272108844
940.5908218,0.272108844
945.3960916,0.272108844
950.2013615,0.272108844
955.0066313,0.272108844
959.8119012,0.272108844
964.617171,0.272108844
969.4224409,0.272108844
974.2277107,0.272108844
979.0329806,0.272108844
983.8382504,0.272108844
988.6435203,0.272108844
993.4487901,0.272108844
998.25406,0.272108844
1003.05933,0.272108844
1007.8646,0.272108844
1012.66987,0.272108844
1017.475139,0.272108844
1022.280409,0.272108844
1027.085679,0.272108844
1031.890949,0.272108844
1036.696219,0.272108844
1041.501489,0.272108844
1046.088263,0.266706683
