Lambda (nm),transmission
200,6.83E-08
201,6.83E-08
202,5.11E-08
203,5.11E-08
204,3.40E-08
205,2.89E-08
206,2.89E-08
207,2.89E-08
208,2.39E-08
209,7.60E-08
210,4.05E-08
211,4.05E-08
212,5.03E-09
213,4.46E-08
214,3.78E-08
215,3.10E-08
216,3.40E-08
217,3.71E-08
218,2.07E-08
219,4.27E-09
220,1.19E-08
221,1.19E-08
222,1.96E-08
223,1.26E-08
224,1.26E-08
225,1.26E-08
226,1.26E-08
227,1.26E-08
228,1.26E-08
229,1.26E-08
230,1.26E-08
231,1.26E-08
232,1.26E-08
233,1.26E-08
234,1.26E-08
235,1.26E-08
236,1.26E-08
237,1.26E-08
238,1.26E-08
239,1.26E-08
240,1.26E-08
241,1.26E-08
242,1.26E-08
243,1.26E-08
244,5.69E-09
245,1.05E-08
246,1.05E-08
247,1.05E-08
248,1.05E-08
249,1.05E-08
250,1.05E-08
251,1.05E-08
252,1.05E-08
253,1.05E-08
254,1.05E-08
255,1.53E-08
256,1.68E-08
257,1.68E-08
258,1.68E-08
259,1.68E-08
260,1.68E-08
261,1.83E-08
262,1.25E-08
263,1.25E-08
264,1.25E-08
265,1.25E-08
266,1.25E-08
267,1.25E-08
268,1.25E-08
269,1.25E-08
270,6.77E-09
271,8.17E-09
272,8.17E-09
273,8.17E-09
274,8.17E-09
275,8.17E-09
276,8.17E-09
277,9.57E-09
278,1.62E-08
279,1.95E-08
280,1.95E-08
281,1.95E-08
282,2.27E-08
283,3.07E-08
284,3.07E-08
285,3.07E-08
286,3.87E-08
287,2.04E-08
288,2.04E-08
289,2.04E-08
290,2.04E-08
291,2.04E-08
292,2.04E-08
293,2.04E-08
294,2.04E-08
295,2.06E-09
296,5.10E-08
297,9.30E-08
298,9.30E-08
299,9.30E-08
300,9.30E-08
301,9.30E-08
302,1.35E-07
303,2.37E-07
304,1.30E-07
305,1.30E-07
306,1.30E-07
307,1.30E-07
308,2.36E-08
309,2.04E-08
310,1.71E-08
311,1.74E-08
312,1.77E-08
313,5.23E-08
314,5.23E-08
315,5.23E-08
316,5.23E-08
317,5.23E-08
318,5.23E-08
319,5.23E-08
320,5.23E-08
321,5.23E-08
322,8.68E-08
323,6.91E-08
324,6.91E-08
325,6.91E-08
326,6.91E-08
327,5.14E-08
328,6.51E-08
329,6.51E-08
330,7.89E-08
331,7.06E-08
332,7.06E-08
333,6.23E-08
334,6.86E-08
335,7.49E-08
336,1.42E-07
337,2.10E-07
338,9.10E-08
339,1.02E-07
340,1.61E-07
341,8.16E-08
342,1.16E-07
343,1.56E-07
344,3.11E-08
345,1.27E-07
346,1.18E-07
347,9.27E-08
348,9.58E-08
349,8.67E-08
350,7.50E-08
351,1.01E-07
352,1.33E-07
353,8.70E-08
354,6.80E-08
355,6.56E-08
356,1.09E-07
357,4.78E-08
358,9.57E-08
359,1.66E-07
360,5.82E-07
361,1.52E-06
362,2.72E-06
363,3.39E-06
364,2.85E-06
365,1.70E-06
366,9.51E-07
367,7.04E-07
368,6.76E-07
369,9.91E-07
370,1.43E-06
371,1.98E-06
372,1.96E-06
373,1.33E-06
374,7.33E-07
375,4.83E-07
376,4.68E-07
377,3.83E-07
378,3.07E-07
379,2.42E-07
380,1.79E-07
381,8.17E-08
382,9.22E-08
383,5.39E-08
384,9.94E-08
385,1.64E-07
386,3.40E-07
