Lambda (nm),transmission
200,2.34E-08
201,2.34E-08
202,2.34E-08
203,1.26E-07
204,1.19E-07
205,1.13E-07
206,9.83E-09
207,3.96E-08
208,3.04E-08
209,2.12E-08
210,4.96E-08
211,1.59E-08
212,1.41E-08
213,1.53E-08
214,1.09E-07
215,5.15E-08
216,4.98E-09
217,2.09E-08
218,3.78E-08
219,3.78E-08
220,5.46E-08
221,3.47E-08
222,1.47E-08
223,2.69E-09
224,1.13E-08
225,6.64E-08
226,3.08E-08
227,2.34E-08
228,3.05E-08
229,1.04E-08
230,3.32E-08
231,5.59E-08
232,1.54E-08
233,6.67E-08
234,4.05E-08
235,8.44E-08
236,2.39E-08
237,3.91E-08
238,6.40E-08
239,8.88E-08
240,3.16E-08
241,2.68E-08
242,4.50E-09
243,5.79E-08
244,3.05E-08
245,1.93E-08
246,7.10E-08
247,5.43E-08
248,5.73E-09
249,6.91E-08
250,2.64E-08
251,8.26E-08
252,4.10E-08
253,4.09E-08
254,3.53E-08
255,1.03E-08
256,2.84E-08
257,3.77E-08
258,4.70E-08
259,2.26E-08
260,2.34E-08
261,3.00E-08
262,3.66E-08
263,1.35E-08
264,3.33E-08
265,4.29E-08
266,5.25E-08
267,6.46E-08
268,3.46E-10
269,6.40E-08
270,3.44E-09
271,2.84E-08
272,1.04E-08
273,6.79E-09
274,2.87E-09
275,2.37E-08
276,1.11E-08
277,8.64E-08
278,8.49E-08
279,8.34E-08
280,1.40E-08
281,1.28E-08
282,1.16E-08
283,5.36E-08
284,5.83E-08
285,5.61E-09
286,8.86E-09
287,1.21E-08
288,6.02E-08
289,3.77E-08
290,3.78E-08
291,3.79E-08
292,3.74E-09
293,3.39E-08
294,4.91E-08
295,6.43E-08
296,1.01E-07
297,1.13E-08
298,1.47E-08
299,1.47E-08
300,1.47E-08
301,1.47E-08
302,1.82E-08
303,6.72E-08
304,4.15E-08
305,4.15E-08
306,4.15E-08
307,1.59E-08
308,3.56E-08
309,2.58E-08
310,2.58E-08
311,1.60E-08
312,6.48E-08
313,6.88E-08
314,7.27E-08
315,8.88E-08
316,8.88E-08
317,1.05E-07
318,6.19E-08
319,6.19E-08
320,6.19E-08
321,1.88E-08
322,2.24E-08
323,2.61E-08
324,2.45E-08
325,2.12E-07
326,1.25E-07
327,3.80E-08
328,4.20E-08
329,4.20E-08
330,4.20E-08
331,4.61E-08
332,3.55E-08
333,2.49E-08
334,1.26E-08
335,1.74E-07
336,9.53E-08
337,1.66E-08
338,7.38E-08
339,1.31E-07
340,2.06E-07
341,1.96E-07
342,1.84E-07
343,2.13E-07
344,1.93E-07
345,2.22E-07
346,2.13E-07
347,1.84E-07
348,1.86E-07
349,1.61E-07
350,1.38E-07
351,1.01E-07
352,1.32E-07
353,1.34E-07
354,1.81E-07
355,1.39E-07
356,1.05E-07
357,1.62E-07
358,1.58E-07
359,1.23E-07
360,1.27E-07
361,1.20E-07
362,9.71E-08
363,1.29E-07
364,1.27E-07
365,1.05E-07
366,1.28E-07
367,8.52E-08
368,8.62E-08
369,1.21E-07
370,1.02E-07
371,9.66E-08
372,7.69E-08
373,1.02E-07
374,8.36E-08
375,1.06E-07
376,1.06E-07
377,1.02E-07
378,8.62E-08
379,1.02E-07
380,9.39E-08
381,1.02E-07
382,1.08E-07
383,9.79E-08
384,1.92E-07
385,2.59E-07
386,2.39E-07
387,1.22E-07
388,1.17E-07
389,8.61E-08
390,7.36E-08
391,8.68E-08
392,8.16E-08
393,5.95E-08
394,7.04E-08
395,5.45E-08
396,6.34E-08
397,5.08E-08
398,6.27E-08
399,6.51E-08
400,7.61E-08
401,3.98E-08
402,6.64E-08
403,6.08E-08
404,6.54E-08
405,7.59E-08
406,4.86E-08
407,6.38E-08
408,6.72E-08
409,7.28E-08
410,4.46E-08
411,9.03E-08
412,5.21E-08
413,3.85E-08
414,6.27E-08
415,5.63E-08
416,5.67E-08
417,9.73E-08
418,7.56E-08
419,6.06E-08
420,7.29E-08
421,1.22E-07
422,1.43E-07
423,1.79E-07
424,2.14E-07
425,3.20E-07
426,2.52E-07
427,1.37E-07
428,6.48E-08
429,7.74E-08
430,5.50E-08
431,7.80E-08
432,1.18E-07
433,9.11E-08
434,9.21E-08
435,4.65E-08
436,5.34E-08
437,4.34E-08
438,5.91E-08
439,7.90E-08
440,7.41E-08
441,5.14E-08
442,6.18E-08
443,9.81E-08
444,8.69E-08
445,4.12E-07
446,1.44E-06
447,2.21E-06
448,1.51E-06
449,1.10E-06
450,1.27E-06
451,9.35E-07
452,3.45E-07
453,1.33E-07
454,1.06E-07
455,1.50E-07
456,3.27E-07
457,7.73E-07
458,1.53E-06
459,1.98E-06
460,1.94E-06
461,1.72E-06
462,1.48E-06
463,1.82E-06
464,5.37E-06
465,9.60E-06
466,8.02E-06
467,3.61E-06
468,1.30E-06
469,1.01E-06
470,1.56E-06
471,2.90E-06
472,4.46E-06
473,6.37E-06
474,1.08E-05
475,1.39E-05
476,1.06E-05
477,4.40E-06
478,1.21E-06
479,3.63E-07
480,1.73E-07
481,9.98E-08
482,7.14E-08
483,6.17E-08
484,4.15E-08
485,4.27E-08
486,6.08E-08
487,5.21E-08
488,5.74E-08
489,5.13E-08
490,7.47E-08
491,7.67E-08
492,6.02E-08
493,4.60E-08
494,6.39E-08
495,7.51E-08
496,7.63E-08
497,4.16E-08
498,6.79E-08
499,4.30E-08
500,3.13E-08
501,4.30E-08
502,5.47E-08
503,4.72E-08
504,3.26E-08
505,4.17E-08
506,5.51E-08
507,5.77E-08
508,5.04E-08
509,7.66E-08
510,7.67E-08
511,7.08E-08
512,8.07E-08
513,7.18E-08
514,5.73E-08
515,8.84E-08
516,5.86E-08
517,7.34E-08
518,8.90E-08
519,6.49E-08
520,6.16E-08
521,6.53E-08
522,8.00E-08
523,8.05E-08
524,5.73E-08
525,8.69E-08
526,7.55E-08
527,1.51E-07
528,1.59E-07
529,2.49E-07
530,3.53E-07
531,5.48E-07
532,9.08E-07
533,1.43E-06
534,2.41E-06
535,3.95E-06
536,6.28E-06
537,9.99E-06
538,1.57E-05
539,2.53E-05
540,4.19E-05
541,7.09E-05
542,0.000125518
543,0.000228344
544,0.00043947
545,0.000886099
546,0.001881117
547,0.004202661
548,0.009486666
549,0.020022497
550,0.037350965
551,0.058521962
552,0.079007616
553,0.097929182
554,0.118394499
555,0.143895836
556,0.175541
557,0.211198654
558,0.247749882
559,0.281418209
560,0.310212917
561,0.335819435
562,0.360285263
563,0.386853828
564,0.416139373
565,0.448566781
566,0.483367768
567,0.519104194
568,0.5544561
569,0.590695038
570,0.627926216
571,0.66325035
572,0.697745056
573,0.727371978
574,0.751933365
575,0.770291519
576,0.786444626
577,0.801756591
578,0.816840591
579,0.833199767
580,0.849431152
581,0.863234558
582,0.875369416
583,0.882904816
584,0.886386184
585,0.886320573
586,0.883904571
587,0.877068252
588,0.867243805
589,0.855775756
590,0.844475402
591,0.834884796
592,0.82978775
593,0.830225373
594,0.836940384
595,0.848422165
596,0.863029556
597,0.878999939
598,0.893283691
599,0.904018783
600,0.91085205
601,0.913374328
602,0.913148042
603,0.909021225
604,0.903424683
605,0.896040878
606,0.888415146
607,0.880689469
608,0.874307861
609,0.868213501
610,0.863742981
611,0.860843657
612,0.858476563
613,0.85579506
614,0.852816925
615,0.847460481
616,0.840672225
617,0.833079758
618,0.823668518
619,0.814890519
620,0.805586853
621,0.796021346
622,0.787483063
623,0.779317779
624,0.772335433
625,0.766813736
626,0.762617188
627,0.760555267
628,0.758865204
629,0.758860017
630,0.758249436
