l (nm),transmission
200,1.189999998924435e-07
201,2.8499999999441506e-07
202,2.159999999249332e-07
203,2.0099999980538953e-07
204,2.3499999985296164e-07
205,1.7900000000828724e-07
206,1.5899999988267906e-07
207,1.6200000017060725e-07
208,2.0699999978221704e-07
209,1.7799999987339677e-07
210,1.6900000015033405e-07
211,2.2399999982764597e-07
212,1.6800000010604582e-07
213,2.180000001984739e-07
214,1.8399999999595945e-07
215,2.0399999979994366e-07
216,2.2399999982764597e-07
217,1.8100000005451967e-07
218,1.739999998867764e-07
219,1.6499999991873117e-07
220,2.000000001547422e-07
221,2.0599999982489838e-07
222,2.180000001984739e-07
223,1.8499999982832493e-07
224,2.109999998553672e-07
225,2.449999997943552e-07
226,1.5099999989806773e-07
227,2.000000001547422e-07
228,1.739999998867764e-07
229,1.9499999983722805e-07
230,2.0499999997368215e-07
231,2.1000000012866145e-07
232,1.4600000007246733e-07
233,1.8100000005451967e-07
234,1.8100000005451967e-07
235,1.7500000012640838e-07
236,1.7200000003661478e-07
237,1.5200000001932906e-07
238,2.520000001267594e-07
239,1.3599999988406589e-07
240,1.60000000126762e-07
241,1.6699999994324956e-07
242,1.3499999984612781e-07
243,1.4399999996841792e-07
244,1.400000001037239e-07
245,1.41999999874753e-07
246,1.2899999991111308e-07
247,1.410000001118859e-07
248,1.2599999996589188e-07
249,8.960000006970756e-08
250,1.3899999991867463e-07
251,1.0700000007755691e-07
252,1.189999998924435e-07
253,1.0799999987890581e-07
254,1.5099999989806773e-07
255,1.189999998924435e-07
256,1.1499999990636448e-07
257,1.1200000008505668e-07
258,1.280000001037842e-07
259,1.2299999987555466e-07
260,1.4600000007246733e-07
261,1.209999999118329e-07
262,1.1200000008505668e-07
263,1.4899999985855497e-07
264,1.5899999988267906e-07
265,1.449999999215477e-07
266,1.9000000002063693e-07
267,1.6099999998819276e-07
268,1.6800000010604582e-07
269,7.299999997975277e-08
270,1.6599999998468975e-07
271,8.349999990701975e-08
272,1.6699999994324956e-07
273,8.969999999089311e-08
274,1.0399999992845145e-07
275,1.1599999993939013e-07
276,1.4999999998076827e-07
277,2.0699999978221704e-07
278,1.9799999988076473e-07
279,1.6200000017060725e-07
280,1.7099999984559263e-07
281,2.2399999982764597e-07
282,2.989999997766388e-07
283,1.0054571620102281e-06
284,4.742486922643447e-06
285,2.6323802272565193e-05
286,0.00011416987511481594
287,0.0003130895273647738
