Lambda (nm),transmission
300.5,9.5E-05
301,9.5E-05
301.5,9.5E-05
302,9.5E-05
302.5,9.5E-05
303,9.5E-05
303.5,9.5E-05
304,9.5E-05
304.5,0.00010809
305,9.5E-05
305.5,9.5E-05
306,0.000109363
306.5,9.5E-05
307,9.5E-05
307.5,9.5E-05
308,9.5E-05
308.5,9.5E-05
309,9.5E-05
309.5,9.5E-05
310,9.5E-05
310.5,9.5E-05
311,9.5E-05
311.5,9.5E-05
312,9.5E-05
312.5,9.5E-05
313,9.5E-05
313.5,9.5E-05
314,9.5E-05
314.5,9.5E-05
315,9.5E-05
315.5,9.5E-05
316,9.5E-05
316.5,9.5E-05
317,9.5E-05
317.5,9.5E-05
318,9.5E-05
318.5,0.000103668
319,9.5E-05
319.5,9.5E-05
320,9.82143E-05
320.5,9.5E-05
321,9.5E-05
321.5,9.5E-05
322,0.0001309
322.5,9.5E-05
323,9.5E-05
323.5,9.5E-05
324,0.000102288
324.5,9.5E-05
325,9.5E-05
325.5,0.000100576
326,9.5E-05
326.5,9.5E-05
327,9.5E-05
327.5,9.5E-05
328,0.000130116
328.5,0.000100591
329,9.5E-05
329.5,9.5E-05
330,9.5E-05
330.5,9.5E-05
331,9.5E-05
331.5,9.5E-05
332,9.5E-05
332.5,9.5E-05
333,0.000105995
333.5,9.5E-05
334,9.5E-05
334.5,9.5E-05
335,9.5E-05
335.5,0.000100831
336,9.5E-05
336.5,0.000103756
337,9.5E-05
337.5,0.000124059
338,9.5E-05
338.5,9.5E-05
339,0.000128843
339.5,0.0001397
340,0.000128441
340.5,9.5E-05
341,0.000105138
341.5,0.000138705
342,9.5E-05
342.5,0.000113343
343,9.5E-05
343.5,9.81152E-05
344,0.000133607
344.5,9.5E-05
345,0.000106439
345.5,0.000129834
346,0.000103294
346.5,0.000114187
347,0.000120045
347.5,9.5E-05
348,0.000104082
348.5,9.5E-05
349,0.000116432
349.5,9.61603E-05
350,9.5E-05
350.5,9.5E-05
351,0.000106251
351.5,9.5E-05
352,0.000120905
352.5,9.5E-05
353,0.000104025
353.5,0.000101036
354,9.81753E-05
354.5,0.000104443
355,0.000101076
355.5,0.000111756
356,9.5E-05
356.5,9.5E-05
357,0.000110394
357.5,0.000139071
358,0.000153795
358.5,0.000158861
359,0.00015156
359.5,0.000126532
360,0.000132154
360.5,0.000101548
361,0.000113813
361.5,9.72078E-05
362,0.000123632
362.5,0.000145102
363,0.000107267
363.5,0.000100677
364,0.000100903
364.5,0.000144295
365,0.000166833
365.5,0.000170767
366,0.000112373
366.5,0.000131467
367,0.000183982
367.5,0.000363477
368,0.00138684
368.5,0.00948242
369,0.025881999
369.5,0.0336836
370,0.0229079
370.5,0.0195389
371,0.064345798
371.5,0.124063995
372,0.124848005
372.5,0.092504802
373,0.128545996
373.5,0.269769994
374,0.446903985
374.5,0.608234992
375,0.973051041
375.5,1.817950048
376,3.031280078
376.5,4.414770007
377,6.342619658
377.5,9.338890016
378,12.73120046
378.5,15.92209935
379,20.05250007
379.5,25.6983012
380,31.25810027
380.5,35.89549959
381,39.8319006
381.5,43.71399879
382,47.40749896
382.5,50.5392015
383,53.25459838
383.5,55.94660044
384,58.58619809
384.5,61.24219894
385,64.66060281
385.5,67.93270111
386,70.68099976
386.5,72.31060266
387,73.31749797
387.5,74.67600107
388,76.6012013
388.5,78.53379846
389,80.46410084
389.5,81.07179999
390,81.77449703
390.5,81.77059889
391,82.28939772
391.5,83.18250179
392,83.88360143
392.5,84.82199907
393,85.16179919
393.5,85.39940119
394,86.22999787
394.5,86.43839955
395,86.98589802
395.5,87.17820048
396,87.83919811
396.5,88.84059787
397,89.66320157
397.5,90.21059871
398,90.4654026
398.5,90.45019746
399,90.71030021
399.5,90.74569941
400,91.29909873
400.5,91.66600108
401,91.93220139
401.5,91.43220186
402,90.76769948
402.5,89.4791007
403,89.65269923
403.5,90.92829823
404,92.48629808
404.5,93.59260201
405,94.20880079
405.5,94.09459829
406,93.65450144
406.5,93.68069768
407,94.1806972
407.5,94.69730258
408,94.74380016
408.5,94.84770298
409,94.90780234
409.5,94.98569965
410,95.54809928
410.5,95.56589723
411,95.61259747
411.5,95.10930181
412,94.85549927
412.5,94.7544992
413,94.95639801
413.5,95.22690177
414,95.01050115
414.5,95.153898
415,95.28440237
415.5,95.94240189
416,96.39189839
416.5,96.49689794
417,96.60210013
417.5,96.56239748
418,96.58280015
418.5,96.74080014
419,96.79970145
419.5,96.57719731
420,96.8716979
420.5,96.78400159
421,96.91079855
421.5,97.04790115
422,96.95259929
422.5,96.65930271
423,96.76129818
423.5,96.89170122
424,96.47269845
424.5,96.63159847
425,97.1800983
425.5,97.04139829
426,96.78069949
426.5,96.97700143
427,96.90570235
427.5,96.92860246
428,96.95370197
428.5,96.59759998
429,97.00490236
429.5,97.04779983
430,97.30759859
430.5,96.96679711
431,96.97740078
431.5,97.29229808
432,97.19409943
432.5,97.21159935
433,97.16510177
433.5,97.40890265
434,97.23610282
434.5,97.19449878
435,96.93840146
435.5,96.60419822
436,96.56410217
436.5,96.35810256
437,96.64549828
437.5,96.92149758
438,97.05719948
438.5,96.95529938
439,96.53570056
439.5,96.06620073
440,95.70639729
440.5,95.41659951
441,95.46530247
441.5,95.57390213
442,95.38350105
442.5,95.16199827
443,94.92040277
443.5,94.84660029
444,94.89600062
444.5,95.34040093
445,96.00239992
445.5,96.40319943
446,96.23280168
446.5,95.33720016
447,94.45919991
447.5,93.41400266
448,92.68580079
448.5,92.59830117
449,92.701298
449.5,93.2017982
450,93.32060218
450.5,93.80090237
451,93.78179908
451.5,93.53629947
452,92.65149832
452.5,91.76480174
453,90.79369903
453.5,89.61820006
454,88.64610195
454.5,87.91130185
455,87.62490153
455.5,87.83800006
456,88.21150064
456.5,88.37310076
457,88.21870089
457.5,87.93860078
458,87.97670007
458.5,87.78489828
459,87.51829863
459.5,87.14370131
460,86.46349907
460.5,85.79819798
461,84.98700261
461.5,84.31079984
462,83.66850019
462.5,83.17070007
463,82.69860148
463.5,82.23149776
464,81.98440075
464.5,81.42709732
465,81.64060116
465.5,82.08500147
466,82.22420216
466.5,81.74549937
467,80.80959916
467.5,79.04750109
468,76.97370052
468.5,74.92139935
469,73.70039821
469.5,72.76329994
470,72.34969735
470.5,71.87389731
471,71.29589915
471.5,70.07949948
472,68.96780133
472.5,68.12289953
473,67.493999
473.5,67.07379818
474,66.2101984
474.5,64.43619728
475,61.37509942
