Lambda (nm),transmission
300.5,9.5E-05
301,9.5E-05
301.5,9.5E-05
302,9.5E-05
302.5,9.5E-05
303,9.5E-05
303.5,9.5E-05
304,9.5E-05
304.5,9.5E-05
305,9.5E-05
305.5,9.5E-05
306,9.5E-05
306.5,9.5E-05
307,9.5E-05
307.5,9.5E-05
308,9.5E-05
308.5,9.5E-05
309,9.5E-05
309.5,9.5E-05
310,9.5E-05
310.5,9.5E-05
311,9.5E-05
311.5,9.5E-05
312,9.5E-05
312.5,9.5E-05
313,9.5E-05
313.5,9.5E-05
314,9.5E-05
314.5,9.5E-05
315,9.5E-05
315.5,9.5E-05
316,9.5E-05
316.5,9.5E-05
317,9.5E-05
317.5,9.5E-05
318,9.5E-05
318.5,9.5E-05
319,9.5E-05
319.5,9.5E-05
320,0.000145194
320.5,0.000148206
321,0.000117855
321.5,0.00013566
322,0.000135471
322.5,0.000133424
323,0.000134278
323.5,0.000151422
324,0.000169588
324.5,9.5E-05
325,0.000120213
325.5,0.000220463
326,0.000184738
326.5,9.5E-05
327,0.00010125
327.5,0.000106599
328,0.000121467
328.5,0.000123787
329,0.000185932
329.5,0.000210533
330,0.000129823
330.5,0.000131811
331,0.000121332
331.5,9.95049E-05
332,0.000136296
332.5,0.000148002
333,0.0001269
333.5,0.000116299
334,0.000108463
334.5,0.000125229
335,9.5E-05
335.5,0.000130562
336,0.00011513
336.5,0.000105859
337,0.00011836
337.5,9.65366E-05
338,0.000110393
338.5,9.5E-05
339,0.000122172
339.5,0.000106146
340,0.000128541
340.5,0.000118646
341,0.000117342
341.5,0.000113069
342,9.5E-05
342.5,0.000117262
343,9.5E-05
343.5,9.5E-05
344,0.000134158
344.5,0.000142194
345,0.000101566
345.5,0.000144264
346,0.000167533
346.5,0.000169888
347,0.000127736
347.5,0.000192761
348,0.000122293
348.5,0.000197466
349,0.000140659
349.5,0.00012897
350,0.000112059
350.5,0.000105679
351,9.5E-05
351.5,9.86108E-05
352,9.5E-05
352.5,0.000100383
353,0.000102583
353.5,0.000115628
354,9.5E-05
354.5,9.64311E-05
355,0.000112218
355.5,0.00011499
356,0.000187985
356.5,0.00025137
357,0.000229953
357.5,0.000251007
358,0.00021527
358.5,0.000196755
359,0.0001592
359.5,0.000188738
360,0.00028418
360.5,0.000405535
361,0.00031812
361.5,0.000273688
362,0.000200625
362.5,0.000272522
363,0.000204825
363.5,0.000208368
364,0.000125765
364.5,0.000108757
365,0.000106675
365.5,0.000145747
366,0.000170736
366.5,0.00022077
367,0.000227213
367.5,0.000173807
368,9.5E-05
368.5,9.5E-05
369,9.5E-05
369.5,9.5E-05
370,9.5E-05
370.5,9.5E-05
371,9.5E-05
371.5,9.5E-05
372,9.5E-05
372.5,9.5E-05
373,9.5E-05
373.5,9.5E-05
374,9.5E-05
374.5,9.5E-05
375,9.5E-05
375.5,9.5E-05
376,9.5E-05
376.5,9.5E-05
377,9.5E-05
377.5,0.000179054
378,0.000851261
378.5,0.00164907
379,0.00136921
379.5,0.000536629
380,9.5E-05
380.5,9.5E-05
381,9.5E-05
381.5,9.5E-05
382,9.5E-05
382.5,9.5E-05
383,9.5E-05
383.5,9.5E-05
384,9.5E-05
384.5,9.5E-05
385,9.5E-05
385.5,9.5E-05
386,9.5E-05
386.5,9.5E-05
387,9.5E-05
387.5,9.5E-05
388,9.5E-05
388.5,9.5E-05
389,9.5E-05
389.5,9.5E-05
390,9.5E-05
390.5,9.5E-05
391,9.5E-05
391.5,9.5E-05
392,9.5E-05
392.5,9.5E-05
393,9.5E-05
393.5,9.5E-05
394,9.5E-05
394.5,9.5E-05
395,9.5E-05
395.5,9.5E-05
396,9.5E-05
396.5,9.5E-05
397,9.5E-05
397.5,9.5E-05
398,9.5E-05
398.5,9.5E-05
399,9.5E-05
399.5,9.5E-05
400,9.5E-05
400.5,9.5E-05
401,9.5E-05
401.5,9.5E-05
402,9.5E-05
402.5,9.5E-05
403,9.5E-05
403.5,9.5E-05
404,9.5E-05
404.5,9.5E-05
405,9.5E-05
405.5,9.5E-05
406,9.5E-05
406.5,9.5E-05
407,9.5E-05
407.5,9.5E-05
408,9.5E-05
408.5,9.5E-05
409,9.5E-05
409.5,9.5E-05
410,9.5E-05
410.5,9.5E-05
411,9.5E-05
411.5,9.5E-05
412,9.5E-05
412.5,0.00012719
413,0.00022009
413.5,0.000171389
414,9.5E-05
414.5,9.5E-05
415,9.5E-05
415.5,9.5E-05
416,9.5E-05
416.5,9.5E-05
417,9.5E-05
417.5,9.5E-05
418,9.5E-05
418.5,9.5E-05
419,9.5E-05
419.5,9.5E-05
420,9.5E-05
420.5,0.000214044
421,0.000364066
421.5,0.000314377
422,0.000229553
422.5,0.000131869
423,9.5E-05
423.5,9.5E-05
424,9.5E-05
424.5,9.5E-05
425,0.000142084
425.5,0.000173987
426,9.5E-05
426.5,9.5E-05
427,9.5E-05
427.5,0.000151762
428,0.000249106
428.5,0.000180231
429,9.5E-05
429.5,9.5E-05
430,9.5E-05
430.5,9.5E-05
431,9.5E-05
431.5,9.5E-05
432,9.5E-05
432.5,9.5E-05
433,9.5E-05
433.5,9.5E-05
434,9.5E-05
434.5,9.5E-05
435,9.5E-05
435.5,9.5E-05
436,9.5E-05
436.5,9.5E-05
437,9.5E-05
437.5,9.5E-05
438,0.000163657
438.5,0.000370376
439,0.000432286
439.5,0.000216098
440,9.5E-05
440.5,9.5E-05
441,9.5E-05
441.5,9.5E-05
442,9.5E-05
442.5,9.5E-05
443,9.5E-05
443.5,9.5E-05
444,9.5E-05
444.5,9.5E-05
445,0.000107723
445.5,0.000137079
446,0.000122411
446.5,9.5E-05
447,9.5E-05
447.5,9.5E-05
448,9.5E-05
448.5,9.5E-05
449,9.5E-05
449.5,9.5E-05
450,9.5E-05
450.5,9.5E-05
451,9.5E-05
451.5,9.5E-05
452,9.5E-05
452.5,9.5E-05
453,9.5E-05
453.5,9.5E-05
454,9.5E-05
454.5,9.5E-05
455,9.5E-05
455.5,9.5E-05
456,9.5E-05
456.5,9.5E-05
457,0.000105736
457.5,9.5E-05
458,9.5E-05
458.5,9.5E-05
459,9.5E-05
459.5,9.5E-05
460,9.5E-05
460.5,9.5E-05
461,9.5E-05
461.5,9.5E-05
462,9.5E-05
462.5,9.5E-05
463,9.5E-05
463.5,9.5E-05
464,9.5E-05
464.5,9.5E-05
465,9.5E-05
465.5,9.5E-05
466,9.5E-05
466.5,9.5E-05
467,9.5E-05
