Lambda (nm),transmission
300.5,0.025221999
301,0.071212102
301.5,0.119157997
302,0.133501994
302.5,0.151316996
303,0.229187007
303.5,0.39372202
304,0.67458502
304.5,1.021820027
305,1.252880041
305.5,1.517639961
306,2.377920039
306.5,3.459480032
307,3.57148014
307.5,2.492119931
308,1.376789995
308.5,0.808208995
309,0.730786985
309.5,1.063160039
310,1.652790047
310.5,2.301600017
311,3.05027999
311.5,4.321119934
312,6.576310098
312.5,8.911679685
313,9.114850312
313.5,7.459200174
314,6.672160327
314.5,8.202309906
315,12.0656997
315.5,18.85550022
316,22.82979935
316.5,19.12479997
317,13.45649958
317.5,13.19790035
318,17.45540053
318.5,21.7039004
319,21.25329971
319.5,16.92479998
320,14.56370056
320.5,18.4442997
321,31.01119995
321.5,44.97250021
322,46.29639983
322.5,36.25999987
323,29.01970148
323.5,30.71680069
324,38.16460073
324.5,45.77589929
325,47.69490063
325.5,44.20239925
326,41.59339964
326.5,42.58260131
327,46.76400125
327.5,52.78300047
328,58.53970051
328.5,60.82199812
329,59.04470086
329.5,56.72150254
330,55.91719747
330.5,55.68540096
331,56.22349977
331.5,56.69170022
332,55.00710011
332.5,54.25689816
333,56.86749816
333.5,61.78560257
334,65.01320004
334.5,66.9934988
335,68.49309802
335.5,68.96740198
336,69.18129921
336.5,71.47079706
337,74.98720288
337.5,77.06480026
338,77.08989978
338.5,76.18860006
339,76.33979917
339.5,78.21639776
340,81.55390024
340.5,82.13750124
341,80.71990013
341.5,80.36950231
342,80.0952971
342.5,78.2525003
343,77.22219825
343.5,78.46260071
344,79.87980247
344.5,81.24529719
345,83.53130221
345.5,86.8588984
346,88.84360194
346.5,89.6697998
347,89.90929723
347.5,88.61510158
348,86.39810085
348.5,84.98780131
349,86.96420193
349.5,90.49879909
350,93.2543993
350.5,93.85340214
351,93.4837997
351.5,93.12580228
352,92.38650203
352.5,91.53620005
353,91.73380136
353.5,91.36160016
354,92.28820205
354.5,94.17189956
355,95.3486979
355.5,95.5016017
356,95.52909732
356.5,95.52029967
357,95.06400228
357.5,95.21070123
358,95.2813983
358.5,95.84630132
359,95.66900134
359.5,95.95479965
360,95.85940242
360.5,95.8781004
361,95.79979777
361.5,95.89750171
362,96.02199793
362.5,95.80500126
363,96.08410001
363.5,96.17360234
364,96.16450071
364.5,96.19749784
365,96.06900215
365.5,96.24850154
366,96.14480138
366.5,96.34559751
367,96.47780061
367.5,96.26089931
368,96.16950154
368.5,96.29049897
369,96.06230259
369.5,96.58830166
370,96.35339975
370.5,96.13519907
371,96.31990194
371.5,95.49469948
372,94.80999708
372.5,94.69299912
373,94.49509978
373.5,94.39799786
374,93.8642025
374.5,93.68810058
375,93.70520115
375.5,93.67960095
376,94.06859875
376.5,93.36810112
377,92.59290099
377.5,91.61490202
378,91.33539796
378.5,90.7540977
379,90.33449888
379.5,90.24019837
380,90.43599963
380.5,91.23759866
381,90.59529901
381.5,89.1955018
382,87.68280149
382.5,88.49920034
383,88.8496995
383.5,85.69539785
384,81.52469993
384.5,81.75010085
385,83.42670202
385.5,80.50360084
386,75.91180205
386.5,75.47780275
387,76.13899708
387.5,72.6485014
388,68.85240078
388.5,69.98890042
389,71.57160044
389.5,70.52400112
390,69.17669773
390.5,67.95169711
391,65.38940072
391.5,62.03830242
392,59.83549953
392.5,57.92220235
393,57.16109872
393.5,57.70599842
394,56.60529733
394.5,53.61070037
395,50.61560273
395.5,48.37929904
396,47.02650011
396.5,46.23160064
397,44.36579943
397.5,40.48100114
398,37.87780106
398.5,38.05559874
399,37.19759881
399.5,33.66630077
400,30.87680042
400.5,30.21270037
401,29.03310061
401.5,26.73160136
402,25.15709996
402.5,24.37430024
403,23.49330038
403.5,22.52330035
404,21.05900049
404.5,19.05310005
405,17.4138993
405.5,16.60189927
406,15.48829973
406.5,13.83550018
407,12.60589957
407.5,12.14139983
408,11.67789996
408.5,10.70140004
409,9.520970285
409.5,8.62577036
410,7.984150201
410.5,7.401160151
411,6.640010327
411.5,5.706610158
412,4.973509908
412.5,4.442010075
413,3.876719996
413.5,3.204099834
414,2.641230077
414.5,2.297979966
415,2.06678994
415.5,1.857060008
416,1.659590006
416.5,1.437779982
417,1.215920039
417.5,1.071299985
418,0.998893008
418.5,0.913609006
419,0.782058015
419.5,0.652298005
420,0.565493014
420.5,0.507084001
421,0.447448017
421.5,0.381487003
422,0.318737002
422.5,0.269821007
423,0.241611991
423.5,0.22386699
424,0.20133201
424.5,0.167113997
425,0.135293999
425.5,0.118817994
426,0.108391
426.5,0.0929759
427,0.0767975
427.5,0.066918798
428,0.061432202
428.5,0.053207303
429,0.043116001
429.5,0.0374383
430,0.036042501
430.5,0.033692899
431,0.027158801
431.5,0.0200197
432,0.0162101
432.5,0.0149222
433,0.0138459
433.5,0.0122212
434,0.0104468
434.5,0.00898351
435,0.00772826
435.5,0.00650806
436,0.00531043
436.5,0.00492524
437,0.00477526
437.5,0.00443444
438,0.00358134
438.5,0.00278178
439,0.00241088
439.5,0.00220925
440,0.00222836
440.5,0.00212256
441,0.00174944
441.5,0.00132872
442,0.0010249
442.5,0.000965381
443,0.00097479
443.5,0.00105021
444,0.00101345
444.5,0.000831494
445,0.000713726
445.5,0.000676011
446,0.000625361
446.5,0.000508271
447,0.000453644
447.5,0.000502643
448,0.000608123
448.5,0.000598749
449,0.000540715
449.5,0.000400195
450,0.00033212
450.5,0.000329535
451,0.000315699
451.5,0.000257618
452,0.000142531
452.5,0.000118814
453,0.000153552
453.5,0.000310413
454,0.000542239
454.5,0.000449917
455,0.000250506
455.5,0.00014767
456,0.000150977
456.5,0.000232766
457,0.000307424
457.5,0.00037258
458,0.000451603
458.5,0.000615701
459,0.000618848
459.5,0.000420599
460,0.000209809
460.5,0.000166628
461,0.000304299
461.5,0.000637915
462,0.000668536
462.5,0.000334294
463,9.60805E-05
463.5,9.5E-05
464,9.5E-05
464.5,9.5E-05
465,9.5E-05
465.5,9.5E-05
466,9.5E-05
466.5,0.000138664
467,0.000251544
467.5,0.00026718
468,0.000131815
468.5,9.5E-05
469,9.5E-05
469.5,9.5E-05
470,9.5E-05
470.5,9.5E-05
471,0.000235802
471.5,0.000469448
472,0.000501347
472.5,0.000316647
473,0.00021089
473.5,0.000240705
474,0.000243066
